,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,1_task,2_val_acc,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,2_test_L0,2_test_acc,2_test_loss
49,3.0,0.0,104,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.1_2stage,CNN,2.0,CVRTDataModule,107,,,,L0resnet50,64.0,0.01,0.1,"['stage_3', 'stage_4']",26148682.0,0.948046863079071,1.0294561386108398
50,3.0,0.0,104,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.1_2stage,CNN,2.0,CVRTDataModule,108,,,,L0resnet50,64.0,0.01,0.1,"['stage_3', 'stage_4']",26148682.0,0.941601574420929,0.8756066560745239
51,3.0,0.0,104,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.1_2stage,CNN,2.0,CVRTDataModule,103,,,,L0resnet50,64.0,0.01,0.1,"['stage_3', 'stage_4']",327860.0,0.7222656011581421,0.5021229386329651
52,3.0,0.0,104,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.1_2stage,CNN,2.0,CVRTDataModule,104,,,,L0resnet50,64.0,0.01,0.1,"['stage_3', 'stage_4']",327860.0,1.0,0.06792184710502625
53,3.0,0.0,104,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.1_2stage,CNN,2.0,CVRTDataModule,105,,,,L0resnet50,64.0,0.01,0.1,"['stage_3', 'stage_4']",327860.0,0.24843749403953552,2.127800703048706
54,3.0,0.0,104,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.1_2stage,CNN,2.0,CVRTDataModule,106,,,,L0resnet50,64.0,0.01,0.1,"['stage_3', 'stage_4']",327860.0,0.9990234375,0.06715957075357437
55,3.0,0.0,104,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.1_2stage,CNN,2.0,CVRTDataModule,107,,,,L0resnet50,64.0,0.01,0.1,"['stage_3', 'stage_4']",327860.0,0.998046875,0.06935383379459381
56,3.0,0.0,104,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.1_2stage,CNN,2.0,CVRTDataModule,108,,,,L0resnet50,64.0,0.01,0.1,"['stage_3', 'stage_4']",327860.0,0.16152343153953552,1.4075076580047607
57,4.0,1.0,104,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.1_2stage,CNN,2.0,CVRTDataModule,104,1.0,60.0,1.0,L0resnet50,64.0,0.0001,0.1,"['stage_3', 'stage_4']",,,
58,4.0,0.0,104,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.1_2stage,CNN,2.0,CVRTDataModule,103,,,,L0resnet50,64.0,0.0001,0.1,"['stage_3', 'stage_4']",22464526.0,0.33281248807907104,1.3259925842285156
59,4.0,0.0,104,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.1_2stage,CNN,2.0,CVRTDataModule,104,,,,L0resnet50,64.0,0.0001,0.1,"['stage_3', 'stage_4']",22464526.0,0.10625000298023224,1.4593043327331543
60,4.0,0.0,104,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.1_2stage,CNN,2.0,CVRTDataModule,105,,,,L0resnet50,64.0,0.0001,0.1,"['stage_3', 'stage_4']",22464526.0,0.570507824420929,1.2518720626831055
61,4.0,0.0,104,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.1_2stage,CNN,2.0,CVRTDataModule,106,,,,L0resnet50,64.0,0.0001,0.1,"['stage_3', 'stage_4']",22464526.0,0.2562499940395355,1.4017000198364258
62,4.0,0.0,104,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.1_2stage,CNN,2.0,CVRTDataModule,107,,,,L0resnet50,64.0,0.0001,0.1,"['stage_3', 'stage_4']",22464526.0,0.07929687201976776,1.4048552513122559
63,4.0,0.0,104,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.1_2stage,CNN,2.0,CVRTDataModule,108,,,,L0resnet50,64.0,0.0001,0.1,"['stage_3', 'stage_4']",22464526.0,0.736132800579071,1.159958004951477
64,4.0,0.0,104,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.1_2stage,CNN,2.0,CVRTDataModule,103,,,,L0resnet50,64.0,0.0001,0.1,"['stage_3', 'stage_4']",22464526.0,0.32988280057907104,1.3272225856781006
65,4.0,0.0,104,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.1_2stage,CNN,2.0,CVRTDataModule,104,,,,L0resnet50,64.0,0.0001,0.1,"['stage_3', 'stage_4']",22464526.0,0.10527344048023224,1.4567577838897705
66,4.0,0.0,104,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model3_T104_0.1_2stage,CNN,2.0,CVRTDataModule,105,,,,L0resnet50,64.0,0.0001,0.1,"['stage_3', 'stage_4']",22464526.0,0.570507824420929,1.259211540222168
