,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,1_task,2_val_acc,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,2_test_L0,2_test_acc,2_test_loss
44,3.0,0.0,105,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T105_-0.05_5stage,CNN,2.0,CVRTDataModule,108,,,,L0resnet50,64.0,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",27641444.0,0.4271484315395355,1.5241636037826538
45,3.0,0.0,105,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T105_-0.05_5stage,CNN,2.0,CVRTDataModule,103,,,,L0resnet50,64.0,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",27641444.0,0.6117187738418579,1.0285130739212036
46,3.0,0.0,105,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T105_-0.05_5stage,CNN,2.0,CVRTDataModule,104,,,,L0resnet50,64.0,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",27641444.0,0.4974609315395355,1.2137653827667236
47,3.0,0.0,105,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T105_-0.05_5stage,CNN,2.0,CVRTDataModule,105,,,,L0resnet50,64.0,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",27641444.0,0.2802734375,1.9842369556427002
48,3.0,0.0,105,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T105_-0.05_5stage,CNN,2.0,CVRTDataModule,106,,,,L0resnet50,64.0,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",27641444.0,0.752148449420929,0.6390364170074463
49,3.0,0.0,105,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T105_-0.05_5stage,CNN,2.0,CVRTDataModule,107,,,,L0resnet50,64.0,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",27641444.0,0.658398449420929,0.8993401527404785
50,3.0,0.0,105,random,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T105_-0.05_5stage,CNN,2.0,CVRTDataModule,108,,,,L0resnet50,64.0,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",27641444.0,0.4205078184604645,1.5241445302963257
51,3.0,0.0,105,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T105_-0.05_5stage,CNN,2.0,CVRTDataModule,103,,,,L0resnet50,64.0,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",269916.0,0.5589843988418579,1.1130094528198242
52,3.0,0.0,105,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T105_-0.05_5stage,CNN,2.0,CVRTDataModule,104,,,,L0resnet50,64.0,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",269916.0,0.2916015684604645,1.925037145614624
53,3.0,0.0,105,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T105_-0.05_5stage,CNN,2.0,CVRTDataModule,105,,,,L0resnet50,64.0,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",269916.0,0.8451172113418579,0.5893354415893555
54,3.0,0.0,105,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T105_-0.05_5stage,CNN,2.0,CVRTDataModule,106,,,,L0resnet50,64.0,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",269916.0,0.7486327886581421,0.7979189157485962
55,3.0,0.0,105,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T105_-0.05_5stage,CNN,2.0,CVRTDataModule,107,,,,L0resnet50,64.0,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",269916.0,0.171875,1.804333209991455
56,3.0,0.0,105,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T105_-0.05_5stage,CNN,2.0,CVRTDataModule,108,,,,L0resnet50,64.0,0.01,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",269916.0,0.780468761920929,0.7457848787307739
57,4.0,1.0,105,,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T105_-0.05_5stage,CNN,2.0,CVRTDataModule,105,0.23999999463558197,89.0,1.0,L0resnet50,64.0,0.0001,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",,,
58,4.0,0.0,105,zero,/users/mlepori/scratch/Compositional_Subnetworks/Models/resnet50/Contact_Inside_Experiments/RN50_model1_T105_-0.05_5stage,CNN,2.0,CVRTDataModule,103,,,,L0resnet50,64.0,0.0001,-0.05,"['first', 'stage_1', 'stage_2', 'stage_3', 'stage_4']",26997856.0,0.3939453065395355,1.5542099475860596
