Jobs for user [1mmlepori(B[m

[1mRunning:(B[m
ID       NAME                               PART.        QOS             CPU  WALLTIME  REMAIN    NODES
6691971  CS-WRN50_model3_T105_-0.01_1stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691972  CS-WRN50_model3_T105_-0.01_2stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691973  CS-WRN50_model3_T105_-0.01_3stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691974  CS-WRN50_model3_T105_-0.01_5stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691975  CS-WRN50_model3_T105_0.0_1stage    3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691976  CS-WRN50_model3_T105_0.0_2stage    3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691977  CS-WRN50_model3_T105_-0.03_1stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691978  CS-WRN50_model3_T105_-0.03_2stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691979  CS-WRN50_model3_T105_-0.03_3stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691980  CS-WRN50_model3_T105_-0.03_5stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691981  CS-WRN50_model3_T105_0.0_3stage    3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691982  CS-WRN50_model3_T105_-0.05_1stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691983  CS-WRN50_model3_T105_-0.05_2stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691984  CS-WRN50_model3_T105_-0.05_3stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691985  CS-WRN50_model3_T105_-0.05_5stage  3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6691986  CS-WRN50_model3_T105_0.0_5stage    3090-gcondo  cs-3090-gcondo  1    12:00:00  N/A        (QOSGrpGRES)
6692018  CS-RN50_model1_T105_0.0_5stage     gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692019  CS-RN50_model2_T104_-0.01_1stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692020  CS-RN50_model2_T104_-0.01_2stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692021  CS-RN50_model2_T104_-0.01_3stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692022  CS-RN50_model2_T104_-0.01_5stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692023  CS-RN50_model2_T104_0.0_1stage     gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692024  CS-RN50_model2_T104_0.0_2stage     gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692025  CS-RN50_model2_T104_-0.03_1stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692026  CS-RN50_model2_T104_-0.03_2stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692027  CS-RN50_model2_T104_-0.03_3stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692028  CS-RN50_model2_T104_-0.03_5stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692029  CS-RN50_model2_T104_0.0_3stage     gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692030  CS-RN50_model2_T104_-0.05_1stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692031  CS-RN50_model2_T104_-0.05_2stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692032  CS-RN50_model2_T104_-0.05_3stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692033  CS-RN50_model2_T104_-0.05_5stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692034  CS-RN50_model2_T104_0.0_5stage     gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692035  CS-RN50_model2_T105_-0.01_1stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692036  CS-RN50_model2_T105_-0.01_2stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692037  CS-RN50_model2_T105_-0.01_3stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692038  CS-RN50_model2_T105_-0.01_5stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692039  CS-RN50_model2_T105_0.0_1stage     gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692040  CS-RN50_model2_T105_0.0_2stage     gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692041  CS-RN50_model2_T105_-0.03_1stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692042  CS-RN50_model2_T105_-0.03_2stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692043  CS-RN50_model2_T105_-0.03_3stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692044  CS-RN50_model2_T105_-0.03_5stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692045  CS-RN50_model2_T105_0.0_3stage     gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692046  CS-RN50_model2_T105_-0.05_1stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692047  CS-RN50_model2_T105_-0.05_2stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692048  CS-RN50_model2_T105_-0.05_3stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692049  CS-RN50_model2_T105_-0.05_5stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692050  CS-RN50_model2_T105_0.0_5stage     gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692051  CS-RN50_model3_T104_-0.01_1stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692052  CS-RN50_model3_T104_-0.01_2stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692053  CS-RN50_model3_T104_-0.01_3stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692054  CS-RN50_model3_T104_-0.01_5stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692055  CS-RN50_model3_T104_0.0_1stage     gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692056  CS-RN50_model3_T104_0.0_2stage     gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692057  CS-RN50_model3_T104_-0.03_1stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692058  CS-RN50_model3_T104_-0.03_2stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692059  CS-RN50_model3_T104_-0.03_3stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692060  CS-RN50_model3_T104_-0.03_5stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692061  CS-RN50_model3_T104_0.0_3stage     gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692062  CS-RN50_model3_T104_-0.05_1stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692063  CS-RN50_model3_T104_-0.05_2stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692064  CS-RN50_model3_T104_-0.05_3stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692065  CS-RN50_model3_T104_-0.05_5stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692066  CS-RN50_model3_T104_0.0_5stage     gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692067  CS-RN50_model3_T105_-0.01_1stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692068  CS-RN50_model3_T105_-0.01_2stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692069  CS-RN50_model3_T105_-0.01_3stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692070  CS-RN50_model3_T105_-0.01_5stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692071  CS-RN50_model3_T105_0.0_1stage     gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692072  CS-RN50_model3_T105_0.0_2stage     gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692073  CS-RN50_model3_T105_-0.03_1stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692074  CS-RN50_model3_T105_-0.03_2stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692075  CS-RN50_model3_T105_-0.03_3stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692076  CS-RN50_model3_T105_-0.03_5stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692077  CS-RN50_model3_T105_0.0_3stage     gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692078  CS-RN50_model3_T105_-0.05_1stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692079  CS-RN50_model3_T105_-0.05_2stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692080  CS-RN50_model3_T105_-0.05_3stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692081  CS-RN50_model3_T105_-0.05_5stage   gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)
6692082  CS-RN50_model3_T105_0.0_5stage     gpu          carney-gcondo   1    12:00:00  N/A        (QOSGrpGRES)

