,Unnamed: 0,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,0_LM_init,0_freeze_until,1_task,2_val_acc,2_val_loss,2_best_epoch,2_used_last_model,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,0_eval_type,2_test_loss,2_test_acc,2_test_L0,2_test_L0_Max,Quality Score,Base Model
8,8,b4163d96-7d85-451d-b3ae-262c9f9a5f04,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_0.1_0stage,BERT_small,0,SyntaxDataModule,,,7,,,,,BERT_small,64,0.01,0.1,0,validate,1.3862981,0.22,12711907.0,12845056.0,0.26666670000000003,b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1
9,9,b4163d96-7d85-451d-b3ae-262c9f9a5f04,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_0.1_0stage,BERT_small,0,SyntaxDataModule,,,8,,,,,BERT_small,64,0.01,0.1,0,validate,1.3862587,0.7,12711907.0,12845056.0,0.26666670000000003,b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1
10,10,b4163d96-7d85-451d-b3ae-262c9f9a5f04,0,7,random,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_0.1_0stage,BERT_small,0,SyntaxDataModule,,,9,,,,,BERT_small,64,0.01,0.1,0,validate,1.3862345,0.96,12711907.0,12845056.0,0.26666670000000003,b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1
11,11,b4163d96-7d85-451d-b3ae-262c9f9a5f04,0,7,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_0.1_0stage,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.01,0.1,0,validate,0.70130044,0.692,133149.0,12845056.0,0.26666670000000003,b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1
12,12,b4163d96-7d85-451d-b3ae-262c9f9a5f04,0,7,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_0.1_0stage,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.01,0.1,0,validate,2.2386367,0.21,133149.0,12845056.0,0.26666670000000003,b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1
13,13,b4163d96-7d85-451d-b3ae-262c9f9a5f04,0,7,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_0.1_0stage,BERT_small,0,SyntaxDataModule,,,7,,,,,BERT_small,64,0.01,0.1,0,validate,0.053664178,1.0,133149.0,12845056.0,0.26666670000000003,b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1
14,14,b4163d96-7d85-451d-b3ae-262c9f9a5f04,0,7,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_0.1_0stage,BERT_small,0,SyntaxDataModule,,,8,,,,,BERT_small,64,0.01,0.1,0,validate,0.053664576,1.0,133149.0,12845056.0,0.26666670000000003,b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1
15,15,b4163d96-7d85-451d-b3ae-262c9f9a5f04,0,7,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/7/T7_0.1_0stage,BERT_small,0,SyntaxDataModule,,,9,,,,,BERT_small,64,0.01,0.1,0,validate,1.3862581,0.34,133149.0,12845056.0,0.26666670000000003,b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1
0,0,aa52a5b8-9b54-470a-a9e8-f302cbb633ca,1,6,,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/6/T6_0.1_0stage,BERT_small,0,SyntaxDataModule,False,-1.0,6,1.0,0.0554813258349895,81.0,True,BERT_small,64,0.01,0.1,0,,,,,,0.46333334,b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1
1,1,aa52a5b8-9b54-470a-a9e8-f302cbb633ca,0,6,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/6/T6_0.1_0stage,BERT_small,0,SyntaxDataModule,,,5,,,,,BERT_small,64,0.01,0.1,0,validate,1.3862942,0.526,12653755.0,12845056.0,0.46333334,b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1
2,2,aa52a5b8-9b54-470a-a9e8-f302cbb633ca,0,6,zero,/users/mlepori/data/mlepori/projects/Compositional_Subnetworks/Language/Models/SV_Agr_Plural/BERT_Small/Mask_Parameters/b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1/6/T6_0.1_0stage,BERT_small,0,SyntaxDataModule,,,6,,,,,BERT_small,64,0.01,0.1,0,validate,1.3862945,0.196,12653755.0,12845056.0,0.46333334,b2806bdd-3c9b-4bd0-9032-7c5ac8c9c8f1
